# source_file=cooling_tables.hpp
# selected_nH_index=80
# selected_log10_nH=0.00000000
log10_T,primordial_cooling_cgs,metal_cooling_cgs
8.22598171234130859e+00,3.44611772298573015e-23,4.70308774273180409e-24
8.24588298797607422e+00,3.52497320570470875e-23,4.73407735453250632e-24
8.26576137542724609e+00,3.60524011835530879e-23,4.76591893611084724e-24
8.28564834594726562e+00,3.68692350964732368e-23,4.79880812497132167e-24
8.30554580688476562e+00,3.77003884125449575e-23,4.83270705579047899e-24
8.32543468475341797e+00,3.85459147743098050e-23,4.86780189974195136e-24
8.34533500671386719e+00,3.94059751093924445e-23,4.90422203001419503e-24
8.36522674560546875e+00,4.02806546147706397e-23,4.94209050890842448e-24
8.38510608673095703e+00,4.11700447983093964e-23,4.98134738299584291e-24
8.40500545501708984e+00,4.20743255202951049e-23,5.02212833635214834e-24
8.42489910125732422e+00,4.29935819777055290e-23,5.06448701151889579e-24
8.44479465484619141e+00,4.39280098080451637e-23,5.10850860547384913e-24
8.46468353271484375e+00,4.48777226072843607e-23,5.15413000934459069e-24
8.48457145690917969e+00,4.58429507228074446e-23,5.20142379833440079e-24
8.50445842742919922e+00,4.68615626335086447e-23,5.25443209572163190e-24
8.52435779571533203e+00,4.80327276215051051e-23,5.32360888622227286e-24
8.54424285888671875e+00,4.92306097506395906e-23,5.39531634250686284e-24
8.56413364410400391e+00,5.04557075810042010e-23,5.46959548534247331e-24
8.58402633666992188e+00,5.17086995329774265e-23,5.54646209194720870e-24
8.60391330718994141e+00,5.29901346537493007e-23,5.62594771675727785e-24
8.62380695343017578e+00,5.43007544725707315e-23,5.70800187267474661e-24
8.64369964599609375e+00,5.56411869227222747e-23,5.79264980324858206e-24
8.66358757019042969e+00,5.70122461086581186e-23,5.87989150847878420e-24
8.68347930908203125e+00,5.84146830259600334e-23,5.96920949561152804e-24
8.70337772369384766e+00,5.98492991573077237e-23,6.06147466708617758e-24
8.72326660156250000e+00,6.13170663793364218e-23,6.15623894990856729e-24
8.74315643310546875e+00,6.28188682162599752e-23,6.25346447875524655e-24
8.76304626464843750e+00,6.43558280060074187e-23,6.35334689113071018e-24
8.78293800354003906e+00,6.59289618014246769e-23,6.45569686041770514e-24
8.80282878875732422e+00,6.75395633343963123e-23,6.56052069750347319e-24
8.82272338867187500e+00,6.91888569170472278e-23,6.66779946972628902e-24
8.84261512756347656e+00,7.08783382296537226e-23,6.77755210974787795e-24
8.86250686645507812e+00,7.26095092633793375e-23,6.88974075224478937e-24
8.88239383697509766e+00,7.43839982271324485e-23,7.00435908632978150e-24
8.90228557586669922e+00,7.62037299415217950e-23,7.12142604466457965e-24
8.92218017578125000e+00,7.80706166053816327e-23,7.24094162724918383e-24
8.94206809997558594e+00,7.99869427598934816e-23,7.36289321230911048e-24
8.96196174621582031e+00,8.19550245006750707e-23,7.48729973250608493e-24
8.98185062408447266e+00,8.39775818201276020e-23,7.61417380961459070e-24
